"S001","S002VS","S003","COUNTRY_ALPHA","COW_NUM","COW_ALPHA","S006","S007","S008","S010","S011A","S011B","S012","S013","S013B","S016B","S017","S018","S019","S020","S021","S022","S023","S024","S025","B006","B008","C001","C002","E018","E034","E035","E036","E039","F028","F034","F063","F116","F118","F120","F121","F141","F144_02","G006","X001","X003","X025R","X028","X047_WVS","X048WVS","X049","X051","Y001","E001","E002","E003","E004","E005","E006","E023","E033","E179WVS","E180WVS","E181_EVS5","E182","F025old"
2,3,862,"VEN",101,"VEN",1,8620320001,NA,35,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,2,2,3,2,6,3,1,2,3,10,1,1,1,1,NA,NA,3,2,28,2,5,5,862025,8,862001,3,3,2,3,4,2,4,3,6,4,4,NA,4,64
2,3,862,"VEN",101,"VEN",2,8620320002,NA,41,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,2,3,3,10,2,1,2,2,1,1,2,9,7,NA,NA,4,1,26,3,1,3,862025,8,862001,3,3,1,2,3,3,1,2,3,4,NA,NA,862002,64
2,3,862,"VEN",101,"VEN",3,8620320003,NA,40,NA,NA,NA,2,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,2,2,2,3,3,10,10,2,7,2,10,4,1,1,5,NA,NA,4,1,27,2,1,3,862025,8,862007,3,3,4,4,3,2,4,1,10,862009,862002,NA,862007,NA
2,3,862,"VEN",101,"VEN",4,8620320004,NA,45,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,2,2,3,2,9,4,1,7,2,10,1,1,1,1,NA,NA,4,1,27,1,4,2,862025,8,862007,2,1,4,1,2,1,3,1,NA,4,4,NA,4,62
2,3,862,"VEN",101,"VEN",5,8620320005,NA,35,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,2,1,1,3,5,2,5,1,10,1,3,4,3,NA,NA,4,2,35,3,4,6,862025,8,862007,5,1,3,2,4,2,3,4,1,4,4,NA,4,64
2,3,862,"VEN",101,"VEN",6,8620320006,NA,90,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,2,1,1,7,7,3,6,3,10,2,NA,NA,NA,NA,NA,4,1,27,2,3,6,862025,8,862001,4,3,4,3,4,2,3,NA,4,4,4,NA,862002,64
2,3,862,"VEN",101,"VEN",7,8620320007,NA,60,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,3,3,1,10,5,2,1,3,5,1,7,1,3,NA,NA,4,1,27,3,1,7,862025,8,862007,1,1,4,2,3,1,4,4,1,NA,NA,NA,862002,64
2,3,862,"VEN",101,"VEN",8,8620320008,NA,45,NA,NA,NA,2,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,1,3,2,10,10,5,1,2,5,7,1,1,8,NA,NA,4,2,27,2,5,5,862025,8,862001,3,3,1,1,4,4,2,1,NA,4,4,NA,4,NA
2,3,862,"VEN",101,"VEN",9,8620320009,NA,40,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,2,1,3,9,9,1,7,3,10,1,6,1,6,NA,NA,4,2,29,2,5,2,862025,8,862007,2,1,4,4,2,1,4,1,NA,4,4,NA,4,64
2,3,862,"VEN",101,"VEN",10,8620320010,NA,35,NA,NA,NA,1,NA,1270,1,0.833333333333333,1.25,1996,86203211996,199603,199604,8623,8621996,NA,1,1,2,3,3,10,6,4,6,3,10,1,1,5,2,NA,NA,4,1,30,2,3,4,862025,8,862001,4,1,3,4,2,1,3,3,4,862007,862003,NA,862002,62
